key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018alhu_qm13,3593,3843,5616,2556,3844,7065,178,303
2018alhu_qm14,4451,4924,6937,4965,2815,4740,267,323
2018alhu_qm15,7313,2468,4306,5721,1319,2973,195,335
2018alhu_qm16,3843,3139,547,5045,2556,6107,119,321
2018alhu_qm17,4533,6366,6937,5058,342,5616,307,284
2018alhu_qm18,3792,538,4087,442,7065,4924,346,173
2018alhu_qm19,3844,5410,3966,4451,4740,34,182,371
2018alhu_qm2,3319,547,3593,342,4306,4965,181,360
2018alhu_qm20,2815,5005,7026,141,6404,7111,306,383
2018alhu_qm21,5858,4965,7072,4306,1319,3959,106,383
2018alhu_qm22,2973,3319,1369,5058,3593,2556,76,304
2018alhu_qm23,2815,342,7065,6366,5045,5721,370,222
2018alhu_qm24,141,3966,4924,4306,3139,442,324,231
2018alhu_qm25,5005,4740,5616,547,6107,5858,120,243
2018alhu_qm26,3792,4965,3959,7111,1369,2468,408,218
2018alhu_qm27,6937,34,7026,3319,3843,4533,355,222
2018alhu_qm28,1319,3593,3844,6404,4087,4451,379,306
2018alhu_qm29,2815,7313,5410,538,7072,5616,351,102
2018alhu_qm3,2468,2973,3843,442,5005,7313,329,62
2018alhu_qm30,1369,442,141,3959,7065,4740,277,389
2018alhu_qm31,5058,4533,2973,4451,3966,4306,227,290
2018alhu_qm32,547,7111,1319,3843,34,538,428,91
2018alhu_qm33,5721,2556,342,4965,6107,3593,283,211
2018alhu_qm34,5045,3792,5858,7072,7026,3844,270,276
2018alhu_qm35,6937,7313,6404,3139,4087,2468,176,312
2018alhu_qm36,5005,6366,3319,4924,5410,538,378,212
2018alhu_qm37,4740,7072,3843,342,2973,3792,203,407
2018alhu_qm38,3844,7111,4306,2468,7065,6937,334,272
2018alhu_qm39,5005,2556,4924,5045,5058,3959,191,275
2018alhu_qm4,538,5058,3966,5616,141,6107,122,271
2018alhu_qm40,6107,2815,4451,442,7026,547,367,192
2018alhu_qm41,4087,4965,5721,34,5616,3319,372,236
2018alhu_qm42,3966,4533,3139,5858,1319,1369,370,198
2018alhu_qm43,7313,3593,141,5410,6404,6366,329,257
2018alhu_qm44,7111,6107,442,3844,5721,3319,15,334
2018alhu_qm45,34,5045,2815,3959,6937,2973,297,409
